Id|Name|Price|Margin|ProducerId
0|Pants1|10.88|0.20|6
1|Shoes2|795.06|0.03|7
2|Car3|832.62|0.23|7
3|Bacon4|967.52|0.19|8
4|Chicken5|145.76|0.00|5
5|Computer6|899.63|0.06|3
6|Computer7|480.59|0.00|0
40|Mouse41|902.77|0.29|9
8|Chips9|848.50|0.28|6
9|Table10|130.14|0.24|5
10|Shirt11|563.57|0.28|8
11|Cheese12|563.04|0.11|1
12|Mouse13|555.61|0.12|7
13|Gloves14|836.37|0.29|7
14|Hat15|910.51|0.07|6
15|Shirt16|125.99|0.26|7
16|Tuna17|473.58|0.06|9
17|Cheese18|920.43|0.11|7
41|Shoes42|633.99|0.14|7
19|Chair20|274.94|0.00|6
20|Chips21|627.52|0.07|6
21|Mouse22|571.23|0.20|0
22|Chips23|237.92|0.23|0
23|Salad24|124.30|0.13|3
24|Bike25|590.24|0.14|1
25|Tuna26|69.21|0.21|6
26|Salad27|829.95|0.23|4
42|Pants43|354.48|0.25|3
28|Bike29|766.05|0.03|0
29|Hat30|662.54|0.27|5
30|Shoes31|960.46|0.14|4
31|Bike32|788.65|0.25|9
32|Fish33|972.76|0.14|0
33|Ball34|572.16|0.11|6
34|Cheese35|332.03|0.01|5
35|Bacon36|760.91|0.17|1
36|Pizza37|170.52|0.02|8
37|Keyboard38|750.03|0.29|6
38|Shirt39|204.32|0.25|0
39|Fish40|730.78|0.15|9
